Sample	isSMA	isCarrier	SMN1_CN	SMN2_CN	SMN*_CN	Total_CN_raw	Full_length_CN_raw	g.27134T>G_CN	population
HG02010	False	False	2	1	0	2.953	2.902	0	AFR
NA20362	False	False	2	2	0	4.007	3.971	0	AFR
NA19308	False	False	4	0	0	3.965	3.997	1	AFR
HG03382	False	False	4	0	0	3.919	4.135	2	AFR
HG03168	False	False	4	0	0	4.076	4.116	1	AFR
HG03259	False	False	2	2	0	4.011	4.018	0	AFR
HG03172	False	False	2	1	0	2.961	3.006	1	AFR
HG03064	False	False	2	2	0	3.939	3.973	0	AFR
HG01956	False	False	2	2	0	4.095	3.987	0	AFR
NA19314	False	False	3	2	0	5.165	5.223	2	AFR
NA18909	False	False	4	0	0	3.899	3.917	1	AFR
HG03123	False	False	3	0	0	3.047	2.823	1	AFR
HG01890	False	False	2	2	0	3.873	3.931	0	AFR
HG03054	False	False	4	0	0	3.989	3.894	2	AFR
HG03258	False	False	3	0	0	3.039	3.162	1	AFR
HG03199	False	False	2	2	0	4.045	3.878	0	AFR
HG03378	False	False	3	0	0	2.992	3.229	2	AFR
NA19321	False	False	3	1	0	3.934	4.096	1	AFR
NA19171	False	False	3	0	0	2.911	2.964	1	AFR
HG03394	False	False	2	2	0	3.978	3.966	0	AFR
HG01882	False	False	2	2	0	3.998	3.925	2	AFR
HG03132	False	False	2	1	0	2.92	2.847	0	AFR
HG03073	False	False	2	1	0	3.018	2.946	0	AFR
NA18907	False	False	3	0	0	2.999	2.933	2	AFR
NA18912	False	False	2	1	0	2.954	2.98	0	AFR
HG03195	False	False	3	0	0	3.006	2.816	2	AFR
HG03432	False	False	4	1	0	4.991	4.79	1	AFR
HG03198	False	False	2	2	0	3.958	4.029	2	AFR
NA19334	False	False	4	0	0	3.958	4.002	2	AFR
HG03135	False	False	2	2	0	4.032	3.851	0	AFR
NA19331	False	False	3	1	0	3.938	4.036	1	AFR
HG03136	False	False	2	2	0	4.028	4.06	0	AFR
HG01886	False	False	2	2	0	3.972	4.244	0	AFR
HG02807	False	False	2	2	0	4.023	3.95	2	AFR
HG03567	False	False	3	0	0	3.005	2.921	1	AFR
NA18916	False	False	2	1	0	2.972	2.971	0	AFR
HG03105	False	False	2	1	0	2.943	3.063	0	AFR
NA19160	False	False	3	0	0	3.04	2.958	1	AFR
HG02968	False	False	4	0	0	4.013	3.836	0	AFR
NA19327	False	False	3	1	0	3.941	4.163	1	AFR
HG02941	False	False	3	0	0	3.022	2.9	1	AFR
NA19332	False	False	2	2	0	3.872	4.033	0	AFR
HG03370	False	False	2	0	0	1.893	1.815	2	AFR
NA19147	False	False	2	1	0	3.023	3.108	0	AFR
NA19338	False	False	3	1	0	3.853	3.955	1	AFR
HG03401	False	False	2	0	0	2.067	1.937	2	AFR
NA19153	False	False	4	0	0	4.039	4.002	2	AFR
NA19152	False	False	3	1	0	4.042	3.919	1	AFR
HG02981	False	False	2	0	0	2.017	2.062	1	AFR
NA19346	False	False	2	3	0	4.743	4.69	0	AFR
NA19355	False	False	2	2	0	4.003	4.052	0	AFR
NA19159	False	False	2	2	0	4.112	4.113	0	AFR
HG03388	False	False	2	1	0	2.932	2.977	2	AFR
HG03376	False	False	3	1	0	3.884	4.06	1	AFR
HG03133	False	False	3	1	0	4.012	4.14	1	AFR
HG03380	False	False	3	0	0	2.909	2.956	2	AFR
NA19095	False	False	3	1	0	3.971	4.144	1	AFR
HG03342	False	False	3	0	0	2.987	3.21	2	AFR
HG02938	False	False	2	2	0	4.007	4.118	0	AFR
HG03445	False	False	3	1	0	4.105	3.901	3	AFR
NA18501	False	False	4	0	0	3.909	3.943	1	AFR
NA19913	False	False	3	1	0	4.06	4.126	1	AFR
HG02979	False	False	4	0	0	3.952	4.086	2	AFR
HG03428	False	False	2	2	0	3.971	4.091	0	AFR
HG03479	False	False	3	1	0	3.969	4.234	0	AFR
NA19347	False	False	2	1	0	2.985	2.827	1	AFR
HG03111	False	False	2	2	0	4.007	4.13	1	AFR
HG03419	False	False	4	1	0	5.022	5.143	1	AFR
HG03212	False	False	3	2	0	5.005	4.97	1	AFR
NA18871	False	False	2	0	0	1.941	2.074	1	AFR
NA19031	False	False	4	0	0	4.031	3.964	2	AFR
NA19172	False	False	3	1	0	4.078	4.102	1	AFR
HG03385	False	False	4	0	0	4.075	4.07	2	AFR
NA20321	False	False	2	2	0	3.917	4.088	0	AFR
HG03478	False	False	2	1	0	2.967	3.261	0	AFR
HG02813	False	False	2	2	0	3.994	3.906	2	AFR
NA19328	False	False	3	1	0	3.975	3.963	1	AFR
HG03112	False	False	2	1	0	2.914	3.028	0	AFR
